code,preval_real,preval_teomim
R06,0.9418334108887855,0.88534
I10,0.8980921358771522,0.69998
E78,0.8822708236389019,0.7917
R05,0.7873429502093997,0.65426
Z23,0.7547696603071196,0.6235
J98,0.755700325732899,0.68156
R07,0.7384830153559795,0.64842
M25,0.7370870172173104,0.6822
Z01,0.7096323871568171,0.63828
Z12,0.708236389018148,0.61346
R91,0.6640297812936249,0.62378
M79,0.6896230805025594,0.60618
M54,0.6854350860865519,0.60948
J44,0.6649604467194044,0.60794
R09,0.658911121451838,0.58428
Z79,0.5946952070730572,0.59034
R53,0.6100511865984178,0.5356
K21,0.6095858538855281,0.52786
R10,0.5993485342019544,0.52974
H25,0.6756630991158679,0.55282
J18,0.6137738483015356,0.50466
I25,0.6254071661237784,0.53546
Z00,0.5346672871102839,0.45204
R94,0.5691019078641228,0.50492
J20,0.5160539785946953,0.41114
G47,0.5165193113075849,0.46508
E11,0.49371800837598884,0.45414
Z51,0.4872033503955328,0.40926
J96,0.47696603071195903,0.42308
M19,0.4490460679385761,0.38502
D64,0.43182875756165656,0.3723
I51,0.4471847370870172,0.3807
K57,0.432759422987436,0.36582
R93,0.46067938576081896,0.3708
I50,0.4560260586319218,0.38266
I49,0.4634713820381573,0.37386
E87,0.41042345276872966,0.37362
Z87,0.4169381107491857,0.36594
N39,0.429502093997208,0.32774
J30,0.3811074918566775,0.35516
R00,0.39087947882736157,0.34454
L82,0.42252210330386225,0.35446
L57,0.43973941368078173,0.3352
J06,0.36668217775709633,0.30694
J01,0.3569101907864123,0.32076
M51,0.39879013494648674,0.34844
R19,0.39367147510469985,0.32794
D12,0.38529548627268495,0.3215
M47,0.3811074918566775,0.34052
Z86,0.36668217775709633,0.33482
R60,0.3690088413215449,0.31844
I27,0.3592368543508609,0.32384
R42,0.3787808282922289,0.2878
D48,0.3643555141926477,0.28798
Z96,0.39087947882736157,0.31032
J45,0.3364355514192648,0.30848
Z98,0.3448115402512797,0.29666
E66,0.29781293624941835,0.2965
E03,0.3113075849232201,0.27298
M62,0.3145649139134481,0.28926
J43,0.32340623545835273,0.29846
J47,0.30479292694276405,0.29178
Z13,0.27780362959516053,0.26938
I34,0.3178222429036761,0.27158
L03,0.3220102373196836,0.27304
M17,0.31503024662633783,0.27364
H26,0.38436482084690554,0.28924
R11,0.2912982782689623,0.26334
F41,0.2922289436947417,0.2605
E55,0.24011167985109352,0.2491
R26,0.3113075849232201,0.26214
I70,0.33503955328059565,0.26142
I48,0.3127035830618892,0.26622
Z85,0.3136342484876687,0.26836
Z68,0.2764076314564914,0.26822
K29,0.28431828757561656,0.25658
G89,0.2940902745463006,0.2588
J40,0.30293159609120524,0.2368
F32,0.2596556537924616,0.24436
H35,0.2889716147045137,0.25692
B35,0.2847836202885063,0.2338
M89,0.2857142857142857,0.23222
N28,0.2964169381107492,0.25086
I65,0.30618892508143325,0.25394
R51,0.2805956258724988,0.21854
N40,0.30107026523964636,0.24452
D23,0.29455560725919033,0.24546
R73,0.24662633783154955,0.23402
H43,0.30107026523964636,0.2508
K64,0.2680316426244765,0.2279
M81,0.2601209865053513,0.22698
M48,0.2712889716147045,0.23636
J32,0.25779432294090276,0.22072
Z09,0.2899022801302932,0.2213
K59,0.26384364820846906,0.22648
R22,0.2768729641693811,0.21618
N18,0.2912982782689623,0.24172
H40,0.2694276407631456,0.24116
H90,0.2675663099115868,0.2287
L25,0.2889716147045137,0.20338
R13,0.2684969753373662,0.22396
I73,0.26384364820846906,0.2086
R50,0.22103303862261517,0.21724
H04,0.2391810144253141,0.22148
K44,0.2424383434155421,0.20776
R35,0.24569567240577012,0.213
R59,0.25779432294090276,0.2087
R63,0.2335970218706375,0.20212
M75,0.2652396463471382,0.20904
M12,0.2559329920893439,0.20576
I20,0.2480223359702187,0.2007
H52,0.2857142857142857,0.21248
N17,0.25221033038622614,0.1996
R55,0.23731968357375524,0.18574
Z99,0.22987436016751978,0.19402
Z48,0.21731037691949745,0.19802
C44,0.24895300139599813,0.20348
D72,0.21777570963238715,0.19156
R78,0.22149837133550487,0.16876
I95,0.24988366682177757,0.1929
D50,0.2135877152163797,0.19004
I35,0.21544904606793858,0.19614
J91,0.24057701256398326,0.17876
K76,0.19776640297812936,0.18388
J02,0.1898557468590042,0.1514
I11,0.20614239181014427,0.18546
Z45,0.21591437878082828,0.1827
H61,0.2280130293159609,0.18062
J34,0.18334108887854816,0.17516
K62,0.2075383899488134,0.16578
M99,0.19497440670079105,0.18168
M50,0.20521172638436483,0.1711
R41,0.22149837133550487,0.16728
J81,0.2042810609585854,0.1671
R20,0.20055839925546767,0.16324
R31,0.20009306654257794,0.1782
Z95,0.21591437878082828,0.17448
E86,0.1931130758492322,0.16278
K22,0.19264774313634248,0.16978
A41,0.19823173569101907,0.16172
K92,0.19776640297812936,0.1594
I67,0.2219637040483946,0.1675
Z46,0.18008375988832015,0.15602
M60,0.18008375988832015,0.14364
R68,0.17636109818520243,0.14746
L98,0.19543973941368079,0.14752
I36,0.1647277803629595,0.15074
N95,0.1698464402047464,0.1376
F17,0.15728245695672405,0.15414
L81,0.1698464402047464,0.15698
R21,0.1670544439274081,0.13862
B37,0.15728245695672405,0.14312
H10,0.1526291298278269,0.13762
M77,0.17077710563052584,0.13462
J15,0.15449046067938577,0.1387
E83,0.15123313168915775,0.14422
M06,0.14425314099581202,0.14858
R92,0.1614704513727315,0.13274
L60,0.1842717543043276,0.14374
M15,0.16240111679851094,0.14338
J31,0.17310376919497442,0.1381
M20,0.175430432759423,0.14168
K52,0.17356910190786412,0.1299
R39,0.1703117729176361,0.143
R30,0.1465798045602606,0.1211
M16,0.16379711493718008,0.14058
K63,0.13587715216379712,0.13002
I12,0.18054909260120985,0.13314
H53,0.17310376919497442,0.12904
R04,0.15960912052117263,0.1318
R79,0.12517449976733364,0.1238
H02,0.16007445323406236,0.1236
S09,0.1465798045602606,0.11298
M70,0.16286644951140064,0.12404
L72,0.15728245695672405,0.11972
K80,0.1498371335504886,0.12592
M65,0.14239181014425314,0.1241
K31,0.11912517449976734,0.12572
D49,0.1563517915309446,0.12062
L85,0.14844113541181944,0.12264
D69,0.1326198231735691,0.12104
E88,0.1563517915309446,0.11938
Z78,0.12470916705444393,0.11444
R74,0.1354118194509074,0.11082
I21,0.1670544439274081,0.11312
G60,0.15681712424383434,0.11782
I47,0.1465798045602606,0.11092
M43,0.12005583992554676,0.10882
N20,0.13448115402512797,0.11472
Z47,0.14751046998604,0.11018
I77,0.14006514657980457,0.10888
S43,0.1521637971149372,0.1041
I82,0.13634248487668682,0.1191
I42,0.140995812005584,0.11964
T14,0.14285714285714285,0.10224
R29,0.1470451372731503,0.11084
Z03,0.11214518380642159,0.11368
J90,0.09771986970684039,0.11726
G56,0.1298278268962308,0.10046
L90,0.1321544904606794,0.10572
M72,0.1326198231735691,0.1009
S83,0.12796649604467195,0.10284
G93,0.13355048859934854,0.10634
B02,0.11493718008375989,0.10858
I26,0.1154025127966496,0.10832
Z11,0.08701721731037693,0.10636
J93,0.11912517449976734,0.10264
R40,0.13029315960912052,0.09928
H01,0.11679851093531875,0.1071
S82,0.12517449976733364,0.08904
84.,0.1275011633317822,0.0
R01,0.11447184737087017,0.09838
E10,0.14425314099581202,0.10496
M10,0.13029315960912052,0.1087
Z71,0.11726384364820847,0.10054
D62,0.11633317822242904,0.1053
I44,0.1414611447184737,0.10728
I87,0.11865984178687762,0.10372
N52,0.1265704979060028,0.10028
F43,0.12005583992554676,0.09096
B07,0.13075849232201023,0.0987
K20,0.12889716147045138,0.09358
Z80,0.10888785481619358,0.09344
R03,0.11586784550953932,0.09098
M46,0.10516519311307584,0.0963
N64,0.10469986040018614,0.09392
N63,0.11074918566775244,0.08514
I71,0.1293624941833411,0.10482
M35,0.09399720800372266,0.1004
I63,0.12563983248022337,0.091
F33,0.09725453699395067,0.0919
E53,0.09399720800372266,0.087
D18,0.10795718939041414,0.09082
J82,0.11679851093531875,0.0868
I45,0.10702652396463472,0.0915
D22,0.0749185667752443,0.0917
N30,0.11307584923220103,0.0901
R52,0.10423452768729642,0.08344
L30,0.10469986040018614,0.08588
D63,0.10423452768729642,0.09422
H93,0.09399720800372266,0.08534
B96,0.10469986040018614,0.08954
I07,0.11214518380642159,0.08822
R25,0.09678920428106096,0.08908
R97,0.11912517449976734,0.08818
R14,0.09771986970684039,0.09122
M76,0.09632387156817124,0.08622
G25,0.10795718939041414,0.08862
H16,0.09120521172638436,0.08282
L21,0.10749185667752444,0.08682
R69,0.1465798045602606,0.07712
R49,0.09399720800372266,0.08286
R76,0.06561191251744998,0.0877
M85,0.07445323406235459,0.0888
N32,0.10283852954862727,0.08282
E04,0.09027454630060493,0.0773
H91,0.10423452768729642,0.07854
T81,0.09260120986505352,0.07926
J95,0.08422522103303862,0.08476
R33,0.10795718939041414,0.0827
I83,0.09073987901349465,0.0851
S33,0.10051186598417869,0.07082
J80,0.09771986970684039,0.08318
M53,0.0832945556072592,0.07798
S42,0.10469986040018614,0.06994
L29,0.10283852954862727,0.07652
H11,0.08375988832014891,0.0749
D68,0.09678920428106096,0.07642
S22,0.0893438808748255,0.07428
Z91,0.09539320614239181,0.07648
G31,0.10888785481619358,0.0737
S61,0.10609585853885528,0.07184
H92,0.07538389948813401,0.06938
T78,0.09120521172638436,0.06414
H81,0.10469986040018614,0.07576
S93,0.08096789204281062,0.06768
L08,0.08562121917170777,0.06646
Z90,0.0805025593299209,0.07072
M21,0.08794788273615635,0.07098
L97,0.07910656119125174,0.07606
I08,0.08375988832014891,0.07378
D04,0.09073987901349465,0.07324
J94,0.08701721731037693,0.0733
Z08,0.09399720800372266,0.07134
N13,0.08748255002326663,0.07118
C34,0.0893438808748255,0.07556
Z88,0.0777105630525826,0.07284
H66,0.07259190321079571,0.0666
K56,0.08887854816193579,0.0663
S99,0.07864122847836202,0.06432
Z76,0.04746393671475105,0.0691
G57,0.08282922289436948,0.06668
R27,0.08515588645881805,0.06706
M71,0.07724523033969288,0.06326
M18,0.09818520241973011,0.06472
H69,0.07305723592368543,0.06504
G43,0.06840390879478828,0.06056
Z94,0.049325267566309915,0.0706
M23,0.08003722661703118,0.06374
K58,0.07119590507212657,0.0597
K30,0.07212657049790601,0.0601
R45,0.06142391810144253,0.0599
Z20,0.06561191251744998,0.06442
J42,0.08096789204281062,0.06442
N60,0.07910656119125174,0.05368
H60,0.07538389948813401,0.06284
Z74,0.06514657980456026,0.06166
D13,0.07212657049790601,0.06492
D89,0.049325267566309915,0.0609
M24,0.0749185667752443,0.06332
S01,0.08236389018147976,0.05728
D51,0.06281991624011168,0.061
E29,0.07212657049790601,0.06262
J41,0.07259190321079571,0.05976
E07,0.0637505816658911,0.0615
F34,0.06979990693345742,0.05536
T82,0.07166123778501629,0.06592
E13,0.07864122847836202,0.0598
T50,0.06468124709167054,0.06386
M41,0.07677989762680316,0.05926
R65,0.0777105630525826,0.05968
L71,0.0777105630525826,0.05702
M05,0.05909725453699395,0.0679
B97,0.05863192182410423,0.05212
R82,0.06979990693345742,0.052
G62,0.06468124709167054,0.05628
R23,0.0604932526756631,0.05596
I80,0.06793857608189856,0.05672
R12,0.048859934853420196,0.0523
K40,0.06421591437878083,0.05844
H00,0.06421591437878083,0.05238
J10,0.06002791996277338,0.04892
R32,0.068869241507678,0.0519
G58,0.06747324336900884,0.0562
H65,0.06561191251744998,0.05198
H18,0.07259190321079571,0.05608
H57,0.068869241507678,0.05046
S13,0.07631456491391345,0.04682
E01,0.06747324336900884,0.04746
N36,0.06468124709167054,0.03822
N76,0.051186598417868774,0.04278
S90,0.05397859469520707,0.05072
S32,0.05816658911121452,0.05056
C61,0.07259190321079571,0.05134
R80,0.05863192182410423,0.05088
S20,0.06142391810144253,0.04696
J38,0.05909725453699395,0.05162
L89,0.06514657980456026,0.0558
S39,0.0637505816658911,0.04832
N19,0.07631456491391345,0.05332
J69,0.05816658911121452,0.04962
S80,0.06468124709167054,0.04976
I69,0.07119590507212657,0.05192
L84,0.0577012563983248,0.04684
G45,0.0577012563983248,0.05056
S29,0.05863192182410423,0.04576
L40,0.07073057235923685,0.04966
M67,0.056305258259655655,0.0483
I31,0.05304792926942764,0.0468
E46,0.0577012563983248,0.0478
B95,0.05304792926942764,0.0449
C50,0.05351326198231736,0.0486
J67,0.049325267566309915,0.04846
T86,0.03396928804094928,0.04798
N41,0.057235923685435085,0.04066
M80,0.05165193113075849,0.04696
E84,0.0660772452303397,0.04628
L20,0.05909725453699395,0.0415
Z04,0.05909725453699395,0.0393
S70,0.05677059097254537,0.04202
R47,0.05072126570497906,0.04354
Z92,0.035830618892508145,0.04688
S10,0.06002791996277338,0.03976
Z82,0.04467194043741275,0.0432
Z77,0.06002791996277338,0.04374
K82,0.05397859469520707,0.03904
I13,0.06142391810144253,0.04176
R16,0.043275942298743604,0.04532
S60,0.045137273150302464,0.03748
D75,0.05351326198231736,0.03998
L50,0.051186598417868774,0.03898
K43,0.043275942298743604,0.04182
F51,0.04653327128897161,0.04196
D53,0.042810609585853886,0.04022
K81,0.05956258724988367,0.038
T07,0.06095858538855282,0.03388
J39,0.041879944160074456,0.03608
W19,0.03722661703117729,0.0354
E16,0.04746393671475105,0.03804
M32,0.034434620753839,0.03758
D86,0.035830618892508145,0.03688
K13,0.04653327128897161,0.0409
S23,0.05397859469520707,0.03692
T84,0.049325267566309915,0.03732
F03,0.05677059097254537,0.03536
R56,0.05211726384364821,0.03892
L02,0.04048394602140531,0.0394
F06,0.06002791996277338,0.03666
D47,0.04839460214053048,0.04072
S05,0.043741275011633315,0.03648
K25,0.04234527687296417,0.03768
F10,0.04048394602140531,0.03758
B00,0.04001861330851559,0.03526
I46,0.044206607724523034,0.03832
R87,0.04653327128897161,0.02998
D17,0.04746393671475105,0.03404
S81,0.04699860400186133,0.03708
E08,0.03629595160539786,0.03632
I99,0.051186598417868774,0.03932
E05,0.051186598417868774,0.0317
D14,0.04048394602140531,0.03974
M96,0.03722661703117729,0.03354
I78,0.0460679385760819,0.0369
G44,0.036761284318287575,0.03116
A04,0.04467194043741275,0.03756
E27,0.036761284318287575,0.03634
S63,0.043275942298743604,0.03522
S31,0.05397859469520707,0.03764
K11,0.0460679385760819,0.03528
M13,0.0316426244765007,0.0371
D84,0.02791996277338297,0.0333
N81,0.04653327128897161,0.034
M22,0.036761284318287575,0.03296
J00,0.034434620753839,0.03154
F29,0.04792926942764077,0.03282
K86,0.04653327128897161,0.03554
C80,0.04234527687296417,0.03534
J12,0.030711959050721264,0.03702
I37,0.03489995346672871,0.0335
M94,0.034434620753839,0.03236
J13,0.03536528617961843,0.0312
S06,0.037691949744067005,0.03052
D61,0.03862261516984644,0.03558
D70,0.044206607724523034,0.0341
Q61,0.04141461144718474,0.03898
K42,0.036761284318287575,0.0315
L66,0.04234527687296417,0.03186
L28,0.04001861330851559,0.0343
R18,0.03536528617961843,0.03264
T85,0.04094927873429502,0.03198
N25,0.041879944160074456,0.03366
S49,0.04653327128897161,0.02686
C79,0.04141461144718474,0.03362
R57,0.03536528617961843,0.03034
N50,0.03210795718939041,0.0315
I24,0.050255932992089344,0.0313
J04,0.03210795718939041,0.02772
H47,0.037691949744067005,0.03382
M34,0.034434620753839,0.0305
S69,0.04001861330851559,0.0246
T88,0.021870637505816658,0.0311
H33,0.036761284318287575,0.03066
Q76,0.04653327128897161,0.02964
Z72,0.02652396463471382,0.03052
M84,0.037691949744067005,0.02748
G97,0.03955328059562587,0.03184
S40,0.03350395532805956,0.02714
J11,0.029315960912052116,0.02682
J21,0.0288506281991624,0.02986
Z41,0.03396928804094928,0.03064
L56,0.04141461144718474,0.03158
E92,0.04048394602140531,0.02834
K55,0.044206607724523034,0.0302
L53,0.034434620753839,0.02894
I05,0.04001861330851559,0.02814
S91,0.03955328059562587,0.0286
S79,0.04094927873429502,0.02812
E43,0.0288506281991624,0.02732
I89,0.03303862261516985,0.02764
D37,0.03350395532805956,0.0278
K74,0.029781293624941835,0.03196
I72,0.03489995346672871,0.02974
Z02,0.03210795718939041,0.02634
G40,0.036761284318287575,0.02566
L91,0.028385295486272687,0.0258
I97,0.04141461144718474,0.02526
A09,0.0288506281991624,0.02818
S59,0.043741275011633315,0.02486
C78,0.03815728245695672,0.02866
H34,0.037691949744067005,0.02814
K75,0.034434620753839,0.02452
N42,0.03489995346672871,0.02538
Z53,0.02652396463471382,0.02912
S30,0.026989297347603535,0.02342
K12,0.024662633783154957,0.02812
K83,0.034434620753839,0.02954
K27,0.03210795718939041,0.02582
I74,0.04699860400186133,0.02908
G72,0.02791996277338297,0.0245
S02,0.027454630060493253,0.02672
T17,0.02652396463471382,0.02536
K85,0.03257328990228013,0.0256
L73,0.026989297347603535,0.02866
E44,0.029315960912052116,0.0255
S00,0.02652396463471382,0.02354
C77,0.03629595160539786,0.02688
M86,0.03303862261516985,0.02574
R61,0.03489995346672871,0.02614
R58,0.022335970218706376,0.0241
S50,0.025593299208934387,0.02408
F05,0.03862261516984644,0.02272
D31,0.02791996277338297,0.02584
N89,0.03210795718939041,0.01786
C85,0.024662633783154957,0.02844
S92,0.01675197766402978,0.02302
B34,0.017682643089809214,0.02448
D25,0.02280130293159609,0.0199
Z83,0.023266635644485806,0.02294
L70,0.01907864122847836,0.02286
M66,0.026989297347603535,0.02324
I38,0.02791996277338297,0.02408
E21,0.023731968357375524,0.02258
G90,0.021870637505816658,0.02018
S51,0.028385295486272687,0.02214
D21,0.03257328990228013,0.02194
K51,0.03489995346672871,0.02192
A08,0.02652396463471382,0.02412
Z43,0.02791996277338297,0.02032
M26,0.0316426244765007,0.01852
L27,0.02791996277338297,0.02162
G54,0.020009306654257795,0.02194
D38,0.025593299208934387,0.02184
Z93,0.027454630060493253,0.01972
J16,0.029781293624941835,0.02302
K90,0.026058631921824105,0.02128
J61,0.023266635644485806,0.02224
H83,0.027454630060493253,0.02258
I15,0.021405304792926943,0.0192
J99,0.019543973941368076,0.02016
R70,0.023266635644485806,0.02174
N83,0.023731968357375524,0.02352
D80,0.021870637505816658,0.02186
N23,0.027454630060493253,0.02082
L92,0.018613308515588647,0.02176
S76,0.01814797580269893,0.01998
J37,0.026989297347603535,0.01768
M31,0.02419730107026524,0.02358
T79,0.024662633783154957,0.01876
H54,0.03396928804094928,0.021
D36,0.029315960912052116,0.01982
H20,0.02280130293159609,0.01888
F11,0.017682643089809214,0.01954
Q82,0.02791996277338297,0.01754
E89,0.021870637505816658,0.0194
E06,0.0144253140995812,0.01806
G30,0.03257328990228013,0.01998
L65,0.02419730107026524,0.02082
R89,0.019543973941368076,0.0189
N94,0.02419730107026524,0.01654
J92,0.01907864122847836,0.02146
R62,0.023266635644485806,0.01936
T15,0.02652396463471382,0.01842
N31,0.026058631921824105,0.0181
A31,0.013959981386691484,0.01956
E93,0.02280130293159609,0.02264
E34,0.018613308515588647,0.01726
F52,0.027454630060493253,0.01984
M40,0.015355979525360632,0.01724
S72,0.0172173103769195,0.01798
K72,0.013959981386691484,0.01996
K66,0.023731968357375524,0.01824
N43,0.019543973941368076,0.01812
M33,0.016286644951140065,0.01694
L94,0.020009306654257795,0.01688
C18,0.025127966496044672,0.01898
K14,0.02047463936714751,0.0199
